Arabidopsis Centroid	Function	Alyrata	Athaliana	Atrichopoda	Bdistachyon	Cclementina	Cgrandiflora	Cpapaya	Creinhardtii	Crubella	Csativus	Csinensis	CsubellipsoideaC169	Egrandis	Esalsugineum	Fvesca	Gmax	Graimondii	Lusitatissimum	Mdomestica	Mesculenta	Mguttatus	MspRCC299	Mtruncatula	Olucimarinus	Osativa	Ppatens	Ptrichocarpa	Pvulgaris	Rcommunis	Sbicolor	Sitalica	Slycopersicum	Smoellendorffii	Spolyrhiza	Stuberosum	Tcacao	Vcarteri	Vvinifera	Zmays
Athaliana|:|AT1G65930.1	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	876549, 475696		evm_27.model.AmTr_v1.0_scaffold00071.147	Bradi2g45420.1, Bradi2g08700.1	Ciclev10001314m, Ciclev10005058m	Cagra.3086s0001.1	evm.model.supercontig_178.15, evm.model.supercontig_118.2, evm.model.supercontig_178.11		Carubv10020383m	Cucsa.278250.1	orange1.1g040623m, orange1.1g015012m	57881	Eucgr.F02901.1	Thhalv10018635m	mrna31675.1-v1.0-hybrid, mrna16114.1-v1.0-hybrid	Glyma.02G241200.1, Glyma.14G211000.1	Gorai.012G179300.1, Gorai.007G188300.1	Lus10007380, Lus10020798	MDP0000270162, MDP0000212157, MDP0000322533, MDP0000184745, MDP0000882007, MDP0000325085, MDP0000600681, MDP0000215762	cassava4.1_008604m, cassava4.1_009195m	Migut.K01086.1		Medtr5g077070.1, Medtr2g062840.1	47417, 29641	LOC_Os01g14580.1, LOC_Os05g49760.1, LOC_Os01g46610.1	Phpat.023G049100.1, Phpat.020G082800.1, Phpat.010G008400.1	Potri.010G176000.1, Potri.017G144500.1, Potri.T120600.1, Potri.004G074900.1, Potri.008G080500.1, Potri.T059000.1	Phvul.005G043900.1, Phvul.008G239900.1	27914.m000430, 29880.m000365	Sobic.009G238900.1, Sobic.003G241500.1	Si022178m, Si001642m	Solyc01g005560.2.1, Solyc11g011930.1.1	267315, 84397	Spipo14G0022900, Spipo18G0011900	PGSC0003DMP400023595, PGSC0003DMP400055235	Thecc1EG016778t1		GSVIVT01036689001, GSVIVT01035240001	GRMZM5G829778_P01, GRMZM2G033515_P01, GRMZM2G432128_P01, GRMZM2G036759_P01, GRMZM2G171097_P01
Athaliana|:|AT5G14590.1	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	488300		evm_27.model.AmTr_v1.0_scaffold00085.112	Bradi5g15210.1	Ciclev10014816m	Cagra.3166s0063.1	evm.model.supercontig_108.34		Carubv10000812m	Cucsa.011380.1	orange1.1g009041m		Eucgr.J02223.1	Thhalv10013384m	mrna28449.1-v1.0-hybrid	Glyma.05G005300.1	Gorai.011G095400.1, Gorai.006G032000.1	Lus10013090, Lus10022252	MDP0000184563, MDP0000282427, MDP0000148646	cassava4.1_007405m	Migut.K01388.1		Medtr6g005470.1		LOC_Os04g42920.1		Potri.001G347800.1	Phvul.004G011200.1	29933.m001413	Sobic.006G141600.1	Si009945m	Solyc02g086610.2.1		Spipo19G0016500	PGSC0003DMP400000939	Thecc1EG016929t1		GSVIVT01032437001	GRMZM2G179929_P01, GRMZM2G082581_P01
Athaliana|:|AT1G69740.1	Porphobilinogen synthase (EC 4.2.1.24)	339208		evm_27.model.AmTr_v1.0_scaffold00006.214	Bradi3g03360.1, Bradi1g34513.1	Ciclev10001195m	Cagra.13056s0005.1	evm.model.supercontig_64.96	Cre02.g091050.t1.2	Carubv10020474m	Cucsa.088610.1	orange1.1g013861m	48948	Eucgr.F03796.1	Thhalv10018595m	mrna11195.1-v1.0-hybrid	Glyma.04G247700.1, Glyma.06G115000.1	Gorai.009G246200.1	Lus10029675	MDP0000189485, MDP0000933051	cassava4.1_008036m, cassava4.1_027491m	Migut.C01121.1		Medtr3g088610.1	28845	LOC_Os06g49110.3	Phpat.012G037700.1, Phpat.004G049400.1	Potri.002G082300.1	Phvul.009G127100.1	29908.m006124	Sobic.010G255100.1	Si006492m	Solyc08g069030.2.1	441909	Spipo12G0014300	PGSC0003DMP400051438	Thecc1EG035142t2	Vocar20008379m	GSVIVT01008851001	
Athaliana|:|AT1G44318.1	Porphobilinogen synthase (EC 4.2.1.24)	314128								Carubv10011660m					Thhalv10012213m																									
Athaliana|:|AT3G23820.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)	898926		evm_27.model.AmTr_v1.0_scaffold00013.253	Bradi4g34430.1, Bradi3g40930.1	Ciclev10004881m	Cagra.0026s0047.1	evm.model.supercontig_157.50		Carubv10013650m	Cucsa.194050.1	orange1.1g011841m		Eucgr.H02683.1	Thhalv10002521m	mrna06557.1-v1.0-hybrid	Glyma.05G152300.1, Glyma.18G002200.1, Glyma.08G109100.1, Glyma.11G254900.1	Gorai.005G028000.1, Gorai.011G153500.1	Lus10016640, Lus10022552	MDP0000216173	cassava4.1_007387m, cassava4.1_007323m	Migut.G00759.1		Medtr3g084090.1		LOC_Os08g41440.1, LOC_Os09g32670.1		Potri.001G320000.1, Potri.017G059100.1	Phvul.001G267000.1	29629.m001442	Sobic.002G256100.1, Sobic.007G196800.1	Si029644m, Si015818m	Solyc09g092330.1.1, Solyc05g053790.1.1	82699	Spipo9G0068200, Spipo0G0118000	PGSC0003DMP400008248, PGSC0003DMP400027609, PGSC0003DMP400035783	Thecc1EG020234t1			GRMZM2G429118_P01, GRMZM2G052357_P01, GRMZM2G161233_P01
Athaliana|:|AT4G30440.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)	491708		evm_27.model.AmTr_v1.0_scaffold00038.13, evm_27.model.AmTr_v1.0_scaffold00019.112	Bradi3g53830.1, Bradi1g47000.1	Ciclev10008355m	Cagra.0380s0079.1	evm.model.supercontig_127.53		Carubv10004864m	Cucsa.170400.1, Cucsa.089900.1	orange1.1g043169m		Eucgr.C00223.1, Eucgr.C01241.1	Thhalv10025193m	mrna29850.1-v1.0-hybrid	Glyma.17G069600.1, Glyma.02G208000.1	Gorai.004G105200.1, Gorai.012G096800.1, Gorai.004G273500.1	Lus10002511, Lus10015496, Lus10023213, Lus10008893, Lus10019967	MDP0000212156, MDP0000430832, MDP0000444614, MDP0000926292	cassava4.1_008065m	Migut.J01406.1, Migut.K00286.1		Medtr4g129820.1	119784	LOC_Os06g08810.1, LOC_Os02g54890.1	Phpat.013G029700.1, Phpat.008G057900.1, Phpat.004G052300.1, Phpat.011G052400.1, Phpat.012G029500.1, Phpat.004G082600.1	Potri.006G178500.1, Potri.018G100400.1	Phvul.003G152300.1	29783.m000322, 31923.m000030	Sobic.004G326900.1	Si007880m, Si020000m	Solyc12g010540.1.1, Solyc07g006220.1.1	84174, 77268	Spipo5G0009300, Spipo12G0050900	PGSC0003DMP400013781, PGSC0003DMP400019858	Thecc1EG038491t1	Vocar20002508m		GRMZM2G042179_P01, GRMZM2G163610_P01, GRMZM2G455306_P01, GRMZM2G110558_P01
Athaliana|:|AT1G02000.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)	887243			Bradi1g68040.1	Ciclev10005072m					Cucsa.320510.1, Cucsa.251480.1	orange1.1g015113m							Lus10027195, Lus10038911, Lus10031127		cassava4.1_007944m			Medtr0354s0040.1	14357	LOC_Os03g14540.1	Phpat.007G074100.1, Phpat.012G067800.1	Potri.002G146500.1, Potri.002G116800.1, Potri.012G128200.1, Potri.014G068400.1			Sobic.001G436100.1	Si035440m	Solyc03g083550.1.1			PGSC0003DMP400039879, PGSC0003DMP400045107				GRMZM2G017678_P01, GRMZM2G170336_P01
Athaliana|:|AT4G00110.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)	912240		evm_27.model.AmTr_v1.0_scaffold00110.58		Ciclev10020187m	Cagra.1261s0003.1	evm.model.supercontig_18.107	Cre06.g278143.t1.1	Carubv10001027m	Cucsa.257570.1	orange1.1g013602m		Eucgr.D02464.1, Eucgr.E00471.1	Thhalv10028667m	mrna03902.1-v1.0-hybrid	Glyma.01G139500.1, Glyma.03G027300.1	Gorai.001G174300.1, Gorai.004G040600.1, Gorai.004G162700.1, Gorai.007G090500.1	Lus10009288, Lus10015876, Lus10030281, Lus10000787	MDP0000451696, MDP0000164430, MDP0000941598, MDP0000155278	cassava4.1_007942m, cassava4.1_008658m, cassava4.1_013548m, cassava4.1_008503m	Migut.N01624.1, Migut.B01622.1, Migut.F00444.1		Medtr4g024600.1			Phpat.001G033300.1		Phvul.010G082300.1	30174.m008860			Solyc05g050990.1.1, Solyc01g091200.2.1, Solyc10g018260.1.1	89938	Spipo16G0004500, Spipo11G0031400, Spipo16G0004300	PGSC0003DMP400012428, PGSC0003DMP400039878	Thecc1EG005530t1			
Athaliana|:|AT4G12250.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)	490033				Ciclev10020257m	Cagra.3744s0012.1	evm.model.supercontig_29.97		Carubv10003353m		orange1.1g042406m		Eucgr.D01992.1	Thhalv10028672m	mrna32285.1-v1.0-hybrid	Glyma.05G052100.1, Glyma.17G134300.1	Gorai.007G225300.1, Gorai.004G202200.1	Lus10032391, Lus10023077					Medtr5g011940.1, Medtr4g102270.1				Potri.003G114600.1	Phvul.003G214400.1	30190.m011013			Solyc08g079440.1.1			PGSC0003DMP400007048	Thecc1EG016067t1			
Athaliana|:|AT2G45310.1	UDP-glucuronate 4-epimerase (EC 5.1.3.6)	903970					Cagra.0698s0030.1			Carubv10024814m					Thhalv10001454m		Glyma.09G232900.1					Migut.A00830.1								30146.m003476					Spipo16G0004400				GSVIVT01004919001, GSVIVT01018554001, GSVIVT01004648001	
Athaliana|:|ATCG00500.1	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	893989, 894031, 876360						evm.model.supercontig_0.171, evm.model.supercontig_120.42	Cre12.g484000.t1.2				9998	Eucgr.I02537.1, Eucgr.E02609.1	Thhalv10011034m		Glyma.15G248500.1	Gorai.013G138600.1, Gorai.004G276900.1, Gorai.005G127400.1, Gorai.001G212300.1, Gorai.003G066100.1, Gorai.012G151800.1	Lus10002473	MDP0000461729, MDP0000680395, MDP0000747936, MDP0000333057, MDP0000333058	cassava4.1_033680m	Migut.L00565.1, Migut.D01360.1		Medtr4g034770.1, Medtr3g080300.1, Medtr4g050863.1, Medtr5g009280.1, Medtr5g045060.1, Medtr3g077610.1		LOC_Os06g39748.1, LOC_Os10g21274.1		Potri.005G150200.1, Potri.013G141100.1, Potri.002G197100.1	Phvul.006G066900.1	28890.m000006, 29917.m001954			Solyc09g091410.1.1, Solyc04g039830.1.1, Solyc04g039820.1.1, Solyc01g007340.2.1, Solyc02g032810.1.1, Solyc00g017930.1.1, Solyc01g017200.1.1	77337			Thecc1EG046390t1	Vocar20013211m	GSVIVT01022888001	
Athaliana|:|AT5G46180.1	Ornithine aminotransferase (EC 2.6.1.13)	494356		evm_27.model.AmTr_v1.0_scaffold00092.75	Bradi1g13827.2	Ciclev10015647m	Cagra.2097s0031.1	evm.model.supercontig_17.2	Cre11.g474800.t1.2	Carubv10026330m	Cucsa.111850.1	orange1.1g012138m	54590	Eucgr.D00287.1	Thhalv10000861m	mrna30368.1-v1.0-hybrid	Glyma.05G141900.1, Glyma.08G097800.1	Gorai.010G167200.1	Lus10023299, Lus10038510	MDP0000206009, MDP0000178059, MDP0000147664, MDP0000212911	cassava4.1_006859m	Migut.M00893.1				LOC_Os03g44150.1	Phpat.014G011300.1	Potri.011G082800.1	Phvul.002G180400.1	29693.m001974	Sobic.001G156100.1	Si035474m	Solyc08g048450.2.1	169863	Spipo13G0042800		Thecc1EG029451t1	Vocar20014601m	GSVIVT01021525001	GRMZM2G080828_P01
Athaliana|:|AT3G12260.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	478588		evm_27.model.AmTr_v1.0_scaffold00095.9	Bradi1g19930.1, Bradi5g03470.3	Ciclev10002826m	Cagra.0430s0056.1	evm.model.supercontig_169.49	Cre12.g555250.t1.2	Carubv10014900m	Cucsa.307830.1	orange1.1g044560m	40238	Eucgr.G03216.1	Thhalv10021751m	mrna14216.1-v1.0-hybrid	Glyma.15G231900.1, Glyma.09G091000.1, Glyma.13G193600.1	Gorai.004G120800.1, Gorai.011G218700.1	Lus10008661, Lus10026163	MDP0000285822, MDP0000746897, MDP0000312788, MDP0000174928	cassava4.1_019020m, cassava4.1_019030m	Migut.N01855.1		Medtr8g040150.1	9210	LOC_Os07g44650.1	Phpat.001G151000.1, Phpat.002G014100.1	Potri.001G029900.1	Phvul.011G203300.1	30131.m007162	Sobic.003G170300.1	Si003323m	Solyc01g022750.2.1	77479	Spipo6G0053100	PGSC0003DMP400009357, PGSC0003DMP400007606, PGSC0003DMP400044319	Thecc1EG045026t1	Vocar20009572m	GSVIVT01036643001	GRMZM2G014382_P01
Athaliana|:|AT4G16130.1	L-arabinokinase (EC 2.7.1.46)	355153		evm_27.model.AmTr_v1.0_scaffold00025.250	Bradi1g34327.1, Bradi3g03620.1	Ciclev10007339m	Cagra.0053s0016.1	evm.model.supercontig_148.1	Cre03.g185300.t1.2	Carubv10006626m	Cucsa.311220.1, Cucsa.397710.1	orange1.1g001939m		Eucgr.C02132.1	Thhalv10024313m	mrna08751.1-v1.0-hybrid	Glyma.14G138300.1, Glyma.17G194400.1	Gorai.010G124600.1	Lus10026983, Lus10020178	MDP0000153379, MDP0000205026, MDP0000205433	cassava4.1_000938m, cassava4.1_029200m	Migut.A00453.1		Medtr1g009190.1		LOC_Os02g04840.1, LOC_Os03g13690.1, LOC_Os06g48940.1	Phpat.016G018000.1	Potri.018G145700.1, Potri.T130600.1, Potri.018G003100.1	Phvul.001G077700.1	29096.m000060, 28226.m000864	Sobic.010G253200.1, Sobic.004G037900.1	Si005780m, Si016213m	Solyc00g011890.2.1, Solyc07g016160.2.1	98990	Spipo12G0062800	PGSC0003DMP400017262, PGSC0003DMP400051466	Thecc1EG036774t2		GSVIVT01032250001, GSVIVT01035565001	AC191623.3_FGP007, GRMZM2G165931_P01, GRMZM2G098900_P01
Athaliana|:|AT2G36580.1	Pyruvate kinase (EC 2.7.1.40)	902775		evm_27.model.AmTr_v1.0_scaffold00071.95	Bradi4g22230.1	Ciclev10031317m	Cagra.0228s0048.1		Cre02.g147900.t1.1, Cre06.g280950.t1.2, Cre10.g426292.t1.1	Carubv10022991m		orange1.1g014746m	53369	Eucgr.K01637.1	Thhalv10016506m		Glyma.03G189700.1, Glyma.13G149800.1, Glyma.10G065000.1	Gorai.002G243800.1, Gorai.006G158900.1		MDP0000193946, MDP0000124884, MDP0000124883	cassava4.1_006316m, cassava4.1_030272m			Medtr7g103420.2, Medtr1g061630.1		LOC_Os11g10980.1	Phpat.019G066300.1	Potri.006G117400.1	Phvul.001G185200.1, Phvul.007G224500.1		Sobic.005G101400.1	Si026208m		140876, 231516	Spipo13G0000700, Spipo4G0089800, Spipo9G0046500		Thecc1EG043508t1, Thecc1EG024362t2	Vocar20002969m, Vocar20010339m, Vocar20011242m	GSVIVT01033599001	
Athaliana|:|AT3G52990.1	Pyruvate kinase (EC 2.7.1.40)	906680		evm_27.model.AmTr_v1.0_scaffold00040.285	Bradi4g42810.1	Ciclev10011472m	Cagra.0612s0021.1	evm.model.supercontig_128.60, evm.model.supercontig_5.103		Carubv10017008m	Cucsa.073770.1, Cucsa.125080.1	orange1.1g036921m		Eucgr.G02720.1, Eucgr.K02074.1	Thhalv10010288m	mrna23562.1-v1.0-hybrid, mrna30100.1-v1.0-hybrid	Glyma.10G201100.1, Glyma.20G189300.1, Glyma.19G190100.1	Gorai.002G243700.1, Gorai.011G233000.1	Lus10035581, Lus10008644	MDP0000029865, MDP0000288237, MDP0000141814	cassava4.1_005418m, cassava4.1_005440m	Migut.L01742.1, Migut.J00493.1, Migut.F00920.1		Medtr1g091040.1		LOC_Os11g05110.1, LOC_Os12g05110.1	Phpat.008G058900.1, Phpat.022G024100.1, Phpat.022G023700.1	Potri.010G233200.1, Potri.008G027100.1	Phvul.007G244900.1, Phvul.007G106100.1	29815.m000503, 28448.m000357	Sobic.005G034400.1, Sobic.008G033600.1	Si026206m, Si009556m	Solyc09g008840.2.1, Solyc10g083720.1.1, Solyc11g007690.1.1			PGSC0003DMP400047503, PGSC0003DMP400004822, PGSC0003DMP400048961	Thecc1EG022396t1		GSVIVT01033747001, GSVIVT01034684001	GRMZM2G124593_P01, GRMZM2G119175_P01, GRMZM2G004534_P01
Athaliana|:|AT5G57300.1	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	495829		evm_27.model.AmTr_v1.0_scaffold00005.231	Bradi2g62630.1	Ciclev10009101m	Cagra.2848s0013.1	evm.model.supercontig_173.21	Cre05.g245450.t1.2	Carubv10026905m		orange1.1g036563m	41267	Eucgr.I01084.1	Thhalv10014276m	mrna17048.1-v1.0-hybrid	Glyma.07G028400.1, Glyma.08G214400.1	Gorai.004G025900.1, Gorai.006G178500.1	Lus10037553, Lus10011441, Lus10000179	MDP0000061263, MDP0000283018, MDP0000828964	cassava4.1_013136m	Migut.L01902.1		Medtr4g009880.1	39585	LOC_Os01g74520.1	Phpat.003G085300.1	Potri.018G088400.1	Phvul.010G157500.1	29462.m000380	Sobic.003G009300.1, Sobic.003G445700.1	Si026684m	Solyc01g081470.2.1	441112	Spipo6G0006500, Spipo6G0007300	PGSC0003DMP400054210	Thecc1EG040806t1, Thecc1EG039314t1		GSVIVT01024342001	GRMZM2G438673_P01, GRMZM2G065210_P02, GRMZM2G128648_P03
Athaliana|:|AT5G46290.3	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	494344		evm_27.model.AmTr_v1.0_scaffold00141.7, evm_27.model.AmTr_v1.0_scaffold00021.209	Bradi1g46610.1, Bradi1g19190.1, Bradi5g11060.2	Ciclev10015139m, Ciclev10019855m	Cagra.0569s0004.1	evm.model.supercontig_166.28, evm.model.supercontig_79.6	Cre11.g467723.t1.1, Cre07.g335300.t1.2	Carubv10026344m	Cucsa.212340.1	orange1.1g012221m, orange1.1g010896m	54810, 54967	Eucgr.D00305.1, Eucgr.D01763.1	Thhalv10000874m	mrna25124.1-v1.0-hybrid	Glyma.05G218600.1, Glyma.18G091100.1, Glyma.05G129600.1, Glyma.08G084300.1, Glyma.08G024700.1	Gorai.004G131800.1, Gorai.009G156400.1, Gorai.010G165600.1, Gorai.006G093400.1	Lus10025390, Lus10001814, Lus10040883, Lus10003195, Lus10004935	MDP0000074417, MDP0000250127, MDP0000189976	cassava4.1_006991m, cassava4.1_005671m	Migut.H01372.1, Migut.E01277.1, Migut.E01278.1, Migut.A00612.1		Medtr8g099695.1, Medtr1g103020.1, Medtr8g099715.1, Medtr4g096690.1	35878	LOC_Os04g36800.1, LOC_Os06g09630.1	Phpat.012G024700.1, Phpat.013G031600.1, Phpat.004G076900.1	Potri.001G088700.1, Potri.003G142000.1, Potri.004G131500.1, Potri.011G079700.1	Phvul.002G194300.1, Phvul.002G300400.1	29693.m002034, 30068.m002515	Sobic.010G073500.1, Sobic.002G401300.1	Si039166m, Si006383m, Si033275m, Si010048m	Solyc02g070790.2.1, Solyc08g016170.2.1, Solyc08g082620.2.1	230041, 229853, 171238, 231054	Spipo7G0061000, Spipo7G0013700	PGSC0003DMP400021710, PGSC0003DMP400014579	Thecc1EG029513t1, Thecc1EG016498t1	Vocar20013839m, Vocar20014520m, Vocar20007370m	GSVIVT01019565001, GSVIVT01021425001	GRMZM2G135498_P01, GRMZM2G012863_P01
Athaliana|:|AT1G74960.2	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)	880230, 476635		evm_27.model.AmTr_v1.0_scaffold00007.356	Bradi1g20860.1, Bradi1g60300.1	Ciclev10027447m, Ciclev10027240m, Ciclev10025676m, Ciclev10007846m, Ciclev10027465m, Ciclev10025485m	Cagra.1961s0074.1, Cagra.0402s0032.1	evm.model.supercontig_261.5		Carubv10020101m, Carubv10008814m	Cucsa.142010.1	orange1.1g023909m, orange1.1g044824m, orange1.1g011493m, orange1.1g008146m, orange1.1g045789m, orange1.1g037985m	60294	Eucgr.C03291.1, Eucgr.C00778.1	Thhalv10018368m, Thhalv10007353m	mrna12921.1-v1.0-hybrid, mrna05394.1-v1.0-hybrid	Glyma.15G181500.1, Glyma.13G112700.1, Glyma.17G047000.1	Gorai.010G091400.1, Gorai.013G222600.1, Gorai.004G285300.1, Gorai.006G138500.1, Gorai.009G236800.1, Gorai.006G090100.1	Lus10034886, Lus10033422	MDP0000182032, MDP0000157048, MDP0000616449, MDP0000282536	cassava4.1_004693m, cassava4.1_004654m	Migut.L01589.1, Migut.J00897.1		Medtr2g043530.1, Medtr4g124880.1	13257, 18112	LOC_Os07g42420.1, LOC_Os03g28420.1	Phpat.012G072300.1, Phpat.004G095300.1, Phpat.004G031900.1, Phpat.013G013100.1, Phpat.026G018200.1	Potri.006G138000.1, Potri.018G062900.1	Phvul.003G128700.1	29739.m003711	Sobic.002G374600.1, Sobic.001G344400.1	Si029594m, Si035346m	Solyc12g009260.1.1, Solyc03g122100.1.1, Solyc03g122120.2.1	230708, 149056	Spipo0G0033200	PGSC0003DMP400039694, PGSC0003DMP400024038, PGSC0003DMP400005274	Thecc1EG029193t1, Thecc1EG037480t3, Thecc1EG029198t1		GSVIVT01015032001, GSVIVT01016710001	GRMZM2G072205_P01, GRMZM2G152105_P01, GRMZM2G124335_P02
Athaliana|:|ATCG00540.1	Cytochrome b6-f complex subunit, apocytochrome f	475560, 475606		evm_27.model.AmTr_v1.0_scaffold00334.3, evm_27.model.AmTr_v1.0_scaffold00155.34	Bradi1g05781.1, Bradi3g27333.1, Bradi3g20800.1, Bradi3g17187.1, Bradi3g29215.1, Bradi2g13079.1, Bradi1g39211.1									Eucgr.E02606.1, Eucgr.I02540.1, Eucgr.E01113.1	Thhalv10022514m, Thhalv10011116m, Thhalv10026888m		Glyma.12G232900.1, Glyma.05G124400.1	Gorai.011G237000.1, Gorai.012G112700.1, Gorai.007G243600.1, Gorai.001G028500.1, Gorai.012G094700.1, Gorai.003G099600.1		MDP0000909814, MDP0000605612	cassava4.1_029081m, cassava4.1_022160m, cassava4.1_030437m			Medtr0002s0690.1, Medtr7g111040.1, Medtr4g050860.1, Medtr5g058870.1		LOC_Os02g24596.1, LOC_Os10g21290.1, LOC_Os06g39738.1, LOC_Os01g65902.1, LOC_Os08g15280.1		Potri.002G168800.1, Potri.011G095400.1, Potri.016G094200.1, Potri.014G005100.1, Potri.T058600.1	Phvul.001G117600.1, Phvul.003G093900.1		Sobic.005G116400.1	Si020836m, Si020868m	Solyc01g007380.1.1, Solyc10g045220.1.1, Solyc05g023720.1.1	236857	Spipo0G0109700	PGSC0003DMP400005233	Thecc1EG046392t1		GSVIVT01013928001, GSVIVT01015185001	GRMZM2G125640_P01, GRMZM2G458519_P01, GRMZM2G448174_P01, GRMZM2G413972_P01, GRMZM2G301183_P01
Athaliana|:|AT2G37250.1	Adenylate kinase (EC 2.7.4.3)	482717		evm_27.model.AmTr_v1.0_scaffold00029.130	Bradi1g76407.1	Ciclev10012374m			Cre08.g377100.t1.2	Carubv10023788m	Cucsa.065700.1	orange1.1g023080m	29851	Eucgr.K03197.1	Thhalv10017031m	mrna18150.1-v1.0-hybrid	Glyma.19G177500.1, Glyma.10G048200.1, Glyma.03G176800.1, Glyma.13G136000.1		Lus10001984, Lus10023476, Lus10040358, Lus10030296	MDP0000276026, MDP0000124417, MDP0000783760		Migut.L01651.1		Medtr7g100530.1, Medtr1g067050.1	88233	LOC_Os03g03820.1	Phpat.021G031700.1, Phpat.019G028600.1		Phvul.001G173800.1		Sobic.001G518500.1	Si036865m	Solyc09g007180.2.1	135845, 160613, 407838	Spipo11G0043200, Spipo17G0030000	PGSC0003DMP400048529	Thecc1EG022068t1	Vocar20012191m	GSVIVT01032645001	GRMZM2G092923_P01, GRMZM2G413055_P01
Athaliana|:|AT3G63250.1	Homocysteine S-methyltransferase (EC 2.1.1.10)	486829		evm_27.model.AmTr_v1.0_scaffold00002.644	Bradi4g02350.1	Ciclev10020605m	Cagra.0664s0060.1	evm.model.supercontig_58.63, evm.model.supercontig_34.94		Carubv10018487m	Cucsa.249640.1	orange1.1g025860m			Thhalv10006074m		Glyma.20G148700.1, Glyma.03G156500.1, Glyma.19G158800.1	Gorai.004G078000.1	Lus10014686, Lus10006901	MDP0000566747, MDP0000264701, MDP0000168908, MDP0000590110	cassava4.1_011199m, cassava4.1_011139m	Migut.G00367.1, Migut.I00082.1, Migut.D00332.1		Medtr7g095280.1		LOC_Os10g28630.1, LOC_Os12g41390.1, LOC_Os01g56610.1	Phpat.023G030700.1, Phpat.008G023900.1	Potri.002G049800.1, Potri.005G213100.1	Phvul.001G153900.1	29703.m001481	Sobic.003G312300.1, Sobic.008G161700.1	Si022412m, Si004229m	Solyc09g065520.2.1, Solyc09g082460.2.1	168384	Spipo9G0003900	PGSC0003DMP400055440, PGSC0003DMP400033560	Thecc1EG004302t1	Vocar20013160m	GSVIVT01018019001, GSVIVT01001192001	GRMZM2G039166_P01, GRMZM2G524969_P01, GRMZM2G137571_P01, GRMZM2G152470_P01, GRMZM2G117240_P01
Athaliana|:|AT3G25900.1	Homocysteine S-methyltransferase (EC 2.1.1.10)	484356		evm_27.model.AmTr_v1.0_scaffold00156.44	Bradi1g69627.1	Ciclev10032092m	Cagra.6197s0020.1	evm.model.supercontig_19.28		Carubv10017635m	Cucsa.283580.1	orange1.1g020275m	38052	Eucgr.G02323.1	Thhalv10004584m	mrna03745.1-v1.0-hybrid	Glyma.08G261200.1	Gorai.005G190200.1, Gorai.013G041600.1, Gorai.006G067900.1	Lus10034320, Lus10041451	MDP0000151481, MDP0000321382, MDP0000213694	cassava4.1_011730m, cassava4.1_011630m	Migut.E00338.1		Medtr5g056640.1		LOC_Os03g12110.1	Phpat.024G029100.1	Potri.010G125200.1	Phvul.003G036100.1	27524.m000295	Sobic.001G453100.1	Si036632m		88753	Spipo15G0032100		Thecc1EG009906t1		GSVIVT01011899001	GRMZM6G310687_P02
Athaliana|:|AT3G22740.1	Homocysteine S-methyltransferase (EC 2.1.1.10)	479786			Bradi2g51410.1	Ciclev10005328m	Cagra.1189s0047.1		Cre10.g455650.t1.2	Carubv10016172m	Cucsa.168270.1	orange1.1g019107m		Eucgr.H03427.1	Thhalv10021051m	mrna29971.1-v1.0-hybrid	Glyma.20G148900.1	Gorai.005G044600.1	Lus10039356, Lus10006602	MDP0000811444, MDP0000607415	cassava4.1_011138m			Medtr1g103290.1				Potri.008G155900.1, Potri.010G083600.1	Phvul.007G060300.1	29844.m003244							Thecc1EG020674t1			
Athaliana|:|AT4G22590.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)	492609		evm_27.model.AmTr_v1.0_scaffold00085.2	Bradi3g32970.3		Cagra.0683s0003.1			Carubv10005056m					Thhalv10025482m									Medtr4g101600.1		LOC_Os10g40555.1, LOC_Os04g46760.1	Phpat.010G088100.1					Si032762m, Si036153m								
Athaliana|:|AT2G22190.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)	481085					Cagra.1393s0006.1			Carubv10023582m				Eucgr.F00298.1	Thhalv10000217m		Glyma.13G088300.1, Glyma.14G171700.1							Medtr5g063080.1							Sobic.008G070200.1									
